61,61,"Color: Magenta, Material: feeling, Warranty: 2 years"
62,62,"Color: DarkGoldenRod, Material: hotel, Warranty: 2 years"
63,63,"Color: BlanchedAlmond, Material: live, Warranty: 2 years"
64,64,"Color: IndianRed, Material: determine, Warranty: 2 years"
65,65,"Color: Moccasin, Material: provide, Warranty: 2 years"
66,66,"Color: Bisque, Material: age, Warranty: 2 years"
67,67,"Color: LightCyan, Material: kind, Warranty: 2 years"
68,68,"Color: LavenderBlush, Material: individual, Warranty: 2 years"
69,69,"Color: LavenderBlush, Material: walk, Warranty: 2 years"
70,70,"Color: MediumOrchid, Material: also, Warranty: 2 years"
71,71,"Color: Gainsboro, Material: control, Warranty: 2 years"
72,72,"Color: MidnightBlue, Material: indeed, Warranty: 2 years"
73,73,"Color: SkyBlue, Material: yourself, Warranty: 2 years"
74,74,"Color: Crimson, Material: must, Warranty: 2 years"
75,75,"Color: MediumVioletRed, Material: maintain, Warranty: 2 years"
76,76,"Color: Salmon, Material: story, Warranty: 2 years"
77,77,"Color: Ivory, Material: own, Warranty: 2 years"
78,78,"Color: CadetBlue, Material: some, Warranty: 2 years"
79,79,"Color: Brown, Material: culture, Warranty: 2 years"
80,80,"Color: LightGray, Material: own, Warranty: 2 years"
81,81,"Color: LightGray, Material: within, Warranty: 2 years"
82,82,"Color: Indigo, Material: image, Warranty: 2 years"
83,83,"Color: Moccasin, Material: former, Warranty: 2 years"
84,84,"Color: WhiteSmoke, Material: coach, Warranty: 2 years"
85,85,"Color: BurlyWood, Material: hot, Warranty: 2 years"
86,86,"Color: DarkKhaki, Material: hair, Warranty: 2 years"
87,87,"Color: BlueViolet, Material: result, Warranty: 2 years"
88,88,"Color: HotPink, Material: support, Warranty: 2 years"
89,89,"Color: NavajoWhite, Material: rest, Warranty: 2 years"
90,90,"Color: Violet, Material: stand, Warranty: 2 years"
91,91,"Color: SaddleBrown, Material: grow, Warranty: 2 years"
92,92,"Color: PaleVioletRed, Material: form, Warranty: 2 years"
93,93,"Color: DarkOrange, Material: despite, Warranty: 2 years"
94,94,"Color: Maroon, Material: fact, Warranty: 2 years"
95,95,"Color: SteelBlue, Material: what, Warranty: 2 years"
96,96,"Color: Azure, Material: program, Warranty: 2 years"
97,97,"Color: DarkSlateGray, Material: behind, Warranty: 2 years"
98,98,"Color: Coral, Material: low, Warranty: 2 years"
99,99,"Color: AntiqueWhite, Material: mother, Warranty: 2 years"
100,100,"Color: MediumSlateBlue, Material: away, Warranty: 2 years"
